"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
ScaleRAMPnum,"Ramp scaling: Numerator.
Setting can only be modified if power stage is
disabled.
Modified settings become active immediately.","RPM/s
1
1
2147483647","INT32
R/W
per.
-","CANopen 3006:31h
Modbus 1634
Profibus 1634
CIP 106.1.49
ModbusTCP 1634
EtherCAT 3006:31h
PROFINET 1634"
ScaleRAMPdenom,"Ramp scaling: Denominator.
See numerator (ScaleRAMPnum) for a
description.
A new scaling is activated when the numerator
value is supplied.
Setting can only be modified if power stage is
disabled.","usr_a
1
1
2147483647","INT32
R/W
per.
-","CANopen 3006:30h
Modbus 1632
Profibus 1632
CIP 106.1.48
ModbusTCP 1632
EtherCAT 3006:30h
PROFINET 1632"
