Parameter name,Description,Unit,Data type,Parameter address
,,,,via fieldbus
HMI menu,,Minimum value,R/W,
HMI name,,Factory setting,Persistent,
,,Maximum value,Expert,
PosReg3Mode,Selection of comparison criterion for position,-,UINT16,CANopen 300B:Eh
,register channel 3.,,,
,,0,R/W,Modbus 2844
,0 / Pact greater equal A: Actual position is,,,
,greater than or equal to comparison value A for,0,per.,Profibus 2844
,position register channel 3,,,
,,5,-,CIP 111.1.14
,1 / Pact less equal A: Actual position is less than,,,
,or equal to comparison value A for position,,,ModbusTCP 2844
,register channel 3,,,
,,,,EtherCAT 300B:Eh
,2 / Pact in [A-B] (basic): Actual position is in the,,,
,range A-B including limits (basic),,,PROFINET 2844
,3 / Pact out [A-B] (basic): Actual position is out of,,,
,the range A-B excluding limits (basic),,,
,4 / Pact in [A-B] (extended): Actual position is in,,,
,the range A-B including limits (extended),,,
,5 / Pact out [A-B] (extended): Actual position is,,,
,out of the range A-B excluding limits (extended),,,
,Modified settings become active immediately.,,,
,Available with firmware version ≥V01.04.,,,
PosReg3Source,Selection of source for position register channel 3.,-,UINT16,CANopen 300B:10h
,0 / Pact Encoder 1: Source for position register,0,R/W,Modbus 2848
,channel 3 is Pact of encoder 1,,,
,,0,per.,Profibus 2848
,1 / Pact Encoder 2: Source for position register,,,
,channel 3 is Pact of encoder 2 (module),1,-,CIP 111.1.16
,Modified settings become active immediately.,,,ModbusTCP 2848
,Available with firmware version ≥V01.04.,,,EtherCAT 300B:10h
,,,,PROFINET 2848
PosReg3Start,Start/stop of position register channel 3.,-,UINT16,CANopen 300B:Ch
,0 / Off (keep last state): Position Register,0,R/W,Modbus 2840
,channel 3 is off and status bit keeps last state,,,
,,0,-,Profibus 2840
,1 / On: Position Register channel 3 is on,,,
,,3,-,CIP 111.1.12
,2 / Off (set state 0): Position Register channel 3 is,,,
,off and status bit is set to 0,,,ModbusTCP 2840
,3 / Off (set state 1): Position Register channel 3 is,,,EtherCAT 300B:Ch
,off and status bit is set to 1,,,
,,,,PROFINET 2840
,Modified settings become active immediately.,,,
,Available with firmware version ≥V01.04.,,,
PosReg3ValueA,Comparison value A for position register channel,usr_p,INT32,CANopen 300B:12h
,3.,,,
,,-,R/W,Modbus 2852
,Available with firmware version ≥V01.04.,,,
,,0,per.,Profibus 2852
,,-,-,CIP 111.1.18
,,,,ModbusTCP 2852
,,,,EtherCAT 300B:12h
,,,,PROFINET 2852
