"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
Cap1Config,"Capture input 1 configuration.
0 / Falling Edge: Position capture at falling edge
1 / Rising Edge: Position capture at rising edge
2 / Both Edges: Position capture at both edges
Modified settings become active immediately.","-
0
0
2","UINT16
R/W
-
-","CANopen 300A:2h
Modbus 2564
Profibus 2564
CIP 110.1.2
ModbusTCP 2564
EtherCAT 300A:2h
PROFINET 2564"
Cap2Config,"Capture input 2 configuration.
0 / Falling Edge: Position capture at falling edge
1 / Rising Edge: Position capture at rising edge
2 / Both Edges: Position capture at both edges
Modified settings become active immediately.","-
0
0
2","UINT16
R/W
-
-","CANopen 300A:3h
Modbus 2566
Profibus 2566
CIP 110.1.3
ModbusTCP 2566
EtherCAT 300A:3h
PROFINET 2566"
Cap3Config,"Capture input 3 configuration.
0 / Falling Edge: Position capture at falling edge
1 / Rising Edge: Position capture at rising edge
Available with hardware version ≥RS03.
Modified settings become active immediately.","-
0
0
1","UINT16
R/W
-
-","CANopen 300A:11h
Modbus 2594
Profibus 2594
CIP 110.1.17
ModbusTCP 2594
EtherCAT 300A:11h
PROFINET 2594"
