"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
"IO_PTtq_reference
ConF→ACG-
iotq","Reference value source for operating mode Profile
Torque.
0 / Analog Input /iAnA: Reference value via
analog input
1 / PTI Interface /iPti: Reference value via
PTI interface
Setting can only be modified if power stage is
disabled.
Modified settings become active the next time the
power stage is enabled.
Available with firmware version ≥V01.20.","-
0
0
1","UINT16
R/W
per.
-","CANopen 3005:38h
Modbus 1392
Profibus 1392
CIP 105.1.56
ModbusTCP 1392
EtherCAT 3005:38h
PROFINET 1392"
PTtq_reference,"Reference value source for operating mode Profile
Torque.
0 / None: None
1 / Parameter 'PTtq_target': Reference value via
parameter PTtq_target
2 / Analog Input: Reference value via analog
input
3 / PTI Interface: Reference value via PTI
interface
Modified settings become active immediately.
Available with firmware version ≥V01.10.","-
0
1
3","UINT16
R/W
-
-","CANopen 301B:38h
Modbus 7024
Profibus 7024
CIP 127.1.56
ModbusTCP 7024
EtherCAT 301B:38h
PROFINET 7024"
