"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
"IOM1_AI11_mode
ConF→i-o-
A11u","IOM1 Type of usage of AI11.
0 / None /nonE: No function
1 / Target Velocity /SPdS: Target velocity for
the velocity controller
2 / Target Torque /trqS: Target torque for the
current controller
3 / Velocity Limitation /LSPd: Limitation of the
reference velocity for the velocity controller
4 / Current Limitation /Lcur: Limitation of the
reference current for the current controller
Setting can only be modified if power stage is
disabled.
Modified settings become active the next time the
power stage is enabled.
Available with firmware version ≥V01.06.","-
0
1
4","UINT16
R/W
per.
-","CANopen 304F:Eh
Modbus 20252
Profibus 20252
CIP 179.1.14
ModbusTCP 20252
EtherCAT 304F:Eh
PROFINET 20252"
"IOM1_AI12_mode
ConF→i-o-
A12u","IOM1 Type of usage of AI12.
0 / None /nonE: No function
1 / Target Velocity /SPdS: Target velocity for
the velocity controller
2 / Target Torque /trqS: Target torque for the
current controller
3 / Velocity Limitation /LSPd: Limitation of the
reference velocity for the velocity controller
4 / Current Limitation /Lcur: Limitation of the
reference current for the current controller
Setting can only be modified if power stage is
disabled.
Modified settings become active the next time the
power stage is enabled.
Available with firmware version ≥V01.06.","-
0
0
4","UINT16
R/W
per.
-","CANopen 304F:13h
Modbus 20262
Profibus 20262
CIP 179.1.19
ModbusTCP 20262
EtherCAT 304F:13h
PROFINET 20262"
