"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
DI_0_Debounce,"Debounce time of DI0.
0 / No: No software debouncing
1 / 0.25 ms: 0.25 ms
2 / 0.50 ms: 0.50 ms
3 / 0.75 ms: 0.75 ms
4 / 1.00 ms: 1.00 ms
5 / 1.25 ms: 1.25 ms
6 / 1.50 ms: 1.50 ms
Setting can only be modified if power stage is
disabled.
Modified settings become active immediately.","-
0
6
6","UINT16
R/W
per.
-","CANopen 3008:20h
Modbus 2112
Profibus 2112
CIP 108.1.32
ModbusTCP 2112
EtherCAT 3008:20h
PROFINET 2112"
DI_1_Debounce,"Debounce time of DI1.
0 / No: No software debouncing
1 / 0.25 ms: 0.25 ms
2 / 0.50 ms: 0.50 ms
3 / 0.75 ms: 0.75 ms
4 / 1.00 ms: 1.00 ms
5 / 1.25 ms: 1.25 ms
6 / 1.50 ms: 1.50 ms
Setting can only be modified if power stage is
disabled.
Modified settings become active immediately.","-
0
6
6","UINT16
R/W
per.
-","CANopen 3008:21h
Modbus 2114
Profibus 2114
CIP 108.1.33
ModbusTCP 2114
EtherCAT 3008:21h
PROFINET 2114"
DI_2_Debounce,"Debounce time of DI2.
0 / No: No software debouncing
1 / 0.25 ms: 0.25 ms
2 / 0.50 ms: 0.50 ms
3 / 0.75 ms: 0.75 ms
4 / 1.00 ms: 1.00 ms
5 / 1.25 ms: 1.25 ms
6 / 1.50 ms: 1.50 ms
Setting can only be modified if power stage is
disabled.
Modified settings become active immediately.","-
0
6
6","UINT16
R/W
per.
-","CANopen 3008:22h
Modbus 2116
Profibus 2116
CIP 108.1.34
ModbusTCP 2116
EtherCAT 3008:22h
PROFINET 2116"
