"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
MON_swLimP,"Positive position limit for software limit switch.
If a user-defined value entered is outside of the
permissible range, the limit switch limits are
automatically set to the maximum user-defined
value.
Setting can only be modified if power stage is
disabled.
Modified settings become active the next time the
power stage is enabled.","usr_p
-
2147483647
-","INT32
R/W
per.
-","CANopen 607D:2h
Modbus 1544
Profibus 1544
CIP 106.1.4
ModbusTCP 1544
EtherCAT 607D:2h
PROFINET 1544"
MON_swLimN,"Negative position limit for software limit switch.
See description 'MON_swLimP'.
Setting can only be modified if power stage is
disabled.
Modified settings become active the next time the
power stage is enabled.","usr_p
-
-2147483648
-","INT32
R/W
per.
-","CANopen 607D:1h
Modbus 1546
Profibus 1546
CIP 106.1.5
ModbusTCP 1546
EtherCAT 607D:1h
PROFINET 1546"
