"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
Cap1Source,"Capture input 1 encoder source.
0 / Pact Encoder 1: Source for capture input 1 is
Pact of encoder 1
1 / Pact Encoder 2: Source for capture input 1 is
Pact of encoder 2 (module)
Modified settings become active immediately.
Available with firmware version ≥V01.01.","-
0
0
1","UINT16
R/W
-
-","CANopen 300A:Ah
Modbus 2580
Profibus 2580
CIP 110.1.10
ModbusTCP 2580
EtherCAT 300A:Ah
PROFINET 2580"
Cap2Source,"Capture input 2 encoder source.
0 / Pact Encoder 1: Source for capture input 2 is
Pact of encoder 1
1 / Pact Encoder 2: Source for capture input 2 is
Pact of encoder 2 (module)
Modified settings become active immediately.
Available with firmware version ≥V01.01.","-
0
0
1","UINT16
R/W
-
-","CANopen 300A:Bh
Modbus 2582
Profibus 2582
CIP 110.1.11
ModbusTCP 2582
EtherCAT 300A:Bh
PROFINET 2582"
