Parameter name,Description,Unit,Data type,Parameter address
,,,,via fieldbus
HMI menu,,Minimum value,R/W,
HMI name,,Factory setting,Persistent,
,,Maximum value,Expert,
_p_act_ENC1_int,Actual position of encoder 1 in internal units.,Inc,INT32,CANopen 301E:26h
,Available with firmware version ≥V01.01.,-,R/-,Modbus 7756
,,-,-,Profibus 7756
,,-,-,CIP 130.1.38
,,,,ModbusTCP 7756
,,,,EtherCAT 301E:26h
,,,,PROFINET 7756
_p_act_ENC2,Actual position of encoder 2 (module).,usr_p,INT32,CANopen 301E:1Ah
,,-,R/-,Modbus 7732
,,-,-,Profibus 7732
,,-,-,CIP 130.1.26
,,,,ModbusTCP 7732
,,,,EtherCAT 301E:1Ah
,,,,PROFINET 7732
_p_act_ENC2_int,Actual position of encoder 2 (module) in internal,Inc,INT32,CANopen 301E:19h
,units.,,,
,,-,R/-,Modbus 7730
,,-,-,Profibus 7730
,,-,-,CIP 130.1.25
,,,,ModbusTCP 7730
,,,,EtherCAT 301E:19h
,,,,PROFINET 7730
_p_act_int,Actual position in internal units.,Inc,INT32,CANopen 6063:0h
,,-,R/-,Modbus 7700
,,-,-,Profibus 7700
,,-,-,CIP 130.1.10
,,,,ModbusTCP 7700
,,,,EtherCAT 6063:0h
,,,,PROFINET 7700
_p_addGEAR,Initial position electronic gear.,Inc,INT32,CANopen 301F:3h
,"When Electronic Gear is inactive, the reference",-,R/-,Modbus 7942
,position for the position controller can be,,,
,determined here. This position is set when,-,-,Profibus 7942
,Electronic Gear is activated with the selection of,,,
,'Synchronization with compensation movement'.,-,-,CIP 131.1.3
,,,,ModbusTCP 7942
,,,,EtherCAT 301F:3h
,,,,PROFINET 7942
