"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
CLSET_v_Threshol,"Velocity threshold for control loop parameter set
switching.
If the reference velocity or the actual velocity are
less than the value of this parameter, control loop
parameter set 2 is used. Otherwise, control loop
parameter set 1 is used.
Modified settings become active immediately.","usr_v
0
50
2147483647","UINT32
R/W
per.
-","CANopen 3011:1Dh
Modbus 4410
Profibus 4410
CIP 117.1.29
ModbusTCP 4410
EtherCAT 3011:1Dh
PROFINET 4410"
CLSET_winTime,"Time window for parameter set switching.
Value 0: Window monitoring deactivated.
Value >0: Window time for the parameters
CLSET_v_Threshol and CLSET_p_DiffWin.
Modified settings become active immediately.","ms
0
0
1000","UINT16
R/W
per.
-","CANopen 3011:1Bh
Modbus 4406
Profibus 4406
CIP 117.1.27
ModbusTCP 4406
EtherCAT 3011:1Bh
PROFINET 4406"
CTRL_ParChgTime,"Period of time for control loop parameter set
switching.
In the case of control loop parameter set
switching, the values of the following parameters
are changed linearly:
- CTRL_KPn
- CTRL_TNn
- CTRL_KPp
- CTRL_TAUnref
- CTRL_TAUiref
- CTRL_KFPp
Modified settings become active immediately.","ms
0
0
2000","UINT16
R/W
per.
-","CANopen 3011:14h
Modbus 4392
Profibus 4392
CIP 117.1.20
ModbusTCP 4392
EtherCAT 3011:14h
PROFINET 4392"
