"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
"RESint_ext
ConF→ACG-
Eibr","Selection of type of braking resistor.
0 / Internal Braking Resistor /int: Internal
braking resistor
1 / External Braking Resistor /Eht: External
braking resistor
2 / Reserved /rSVd: Reserved
Setting can only be modified if power stage is
disabled.
Modified settings become active the next time the
power stage is enabled.","-
0
0
2","UINT16
R/W
per.
-","CANopen 3005:9h
Modbus 1298
Profibus 1298
CIP 105.1.9
ModbusTCP 1298
EtherCAT 3005:9h
PROFINET 1298"
"RESext_P
ConF→ACG-
Pobr","Nominal power of external braking resistor.
The maximum value depends on the power stage.
Setting can only be modified if power stage is
disabled.
Modified settings become active the next time the
power stage is enabled.","W
1
10
-","UINT16
R/W
per.
-","CANopen 3005:12h
Modbus 1316
Profibus 1316
CIP 105.1.18
ModbusTCP 1316
EtherCAT 3005:12h
PROFINET 1316"
"RESext_R
ConF→ACG-
rbr","Resistance value of external braking resistor.
The minimum value depends on the power stage.
In increments of 0.01 Ω.
Setting can only be modified if power stage is
disabled.
Modified settings become active the next time the
power stage is enabled.","Ω
-
100.00
327.67","UINT16
R/W
per.
-","CANopen 3005:13h
Modbus 1318
Profibus 1318
CIP 105.1.19
ModbusTCP 1318
EtherCAT 3005:13h
PROFINET 1318"
"RESext_ton
ConF→ACG-
tbr","Maximum permissible switch-on time of external
braking resistor.
Setting can only be modified if power stage is
disabled.
Modified settings become active the next time the
power stage is enabled.","ms
1
1
30000","UINT16
R/W
per.
-","CANopen 3005:11h
Modbus 1314
Profibus 1314
CIP 105.1.17
ModbusTCP 1314
EtherCAT 3005:11h
PROFINET 1314"
