"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
_Cap2CntRise,"Capture input 2 event counter at rising edges
(DS402).
Counts the capture events at rising edges.
The event counter is reset when capture input 2 is
activated.
Available with firmware version ≥V01.16.","-
-
-
-","UINT16
R/-
-
-","CANopen 300A:2Dh
Modbus 2650
Profibus 2650
CIP 110.1.45
ModbusTCP 2650
EtherCAT 300A:2Dh
PROFINET 2650"
_Cap2PosFallEdge,"Capture input 2 captured position at falling edge
(DS402).
This parameter contains the position captured at
the point in time a falling edge was detected.
The captured position is recalculated after
""Position Setting"" or ""Reference Movement"".
Available with firmware version ≥V01.16.","usr_p
-
-
-","INT32
R/-
-
-","CANopen 60BD:0h
Modbus 2640
Profibus 2640
CIP 110.1.40
ModbusTCP 2640
EtherCAT 60BD:0h
PROFINET 2640"
_Cap2CntFall,"Capture input 2 event counter at falling edges
(DS402).
Counts the capture events at falling edges.
The event counter is reset when capture input 2 is
activated.
Available with firmware version ≥V01.16.","-
-
-
-","UINT16
R/-
-
-","CANopen 300A:2Eh
Modbus 2652
Profibus 2652
CIP 110.1.46
ModbusTCP 2652
EtherCAT 300A:2Eh
PROFINET 2652"
_CapEventCounters,"Capture inputs 1 and 2 summary of event
counters (DS402).
This parameter contains the counted capture
events.
Bits 0 ... 3: _Cap1CntRise (lowest 4 bits)
Bits 4 ... 7: _Cap1CntFall (lowest 4 bits)
Bits 8 ... 11: _Cap2CntRise (lowest 4 bits)
Bits 12 ... 15: _Cap2CntFall (lowest 4 bits)
Available with firmware version ≥V01.16.","-
-
-
-","UINT16
R/-
-
-","CANopen 300A:2Fh
Modbus 2654
Profibus 2654
CIP 110.1.47
ModbusTCP 2654
EtherCAT 300A:2Fh
PROFINET 2654"
