"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
OFSp_RelPos1,"Relative offset position 1 for offset movement.
Modified settings become active immediately.","Inc
-2147483648
0
2147483647","INT32
R/W
per.
-","CANopen 3027:8h
Modbus 10000
Profibus 10000
CIP 139.1.8
ModbusTCP 10000
EtherCAT 3027:8h
PROFINET 10000"
OFSp_RelPos2,"Relative offset position 2 for offset movement.
Modified settings become active immediately.","Inc
-2147483648
0
2147483647","INT32
R/W
per.
-","CANopen 3027:Ah
Modbus 10004
Profibus 10004
CIP 139.1.10
ModbusTCP 10004
EtherCAT 3027:Ah
PROFINET 10004"
OFS_PosActivate,"Offset movement with relative offset position.
This parameter starts an offset movement with
one of the relative offset positions specified by
means of the parameters OFSp_RelPos1 and
OFSp_RelPos2.
Value 0: No offset movement
Value 1: Start offset movement with relative offset
position 1 (OFSp_RelPos1)
Value 2: Start offset movement with relative offset
position 2 (OFSp_RelPos2)
Modified settings become active immediately.","-
0
0
3","UINT16
R/W
-
-","CANopen 3027:Bh
Modbus 10006
Profibus 10006
CIP 139.1.11
ModbusTCP 10006
EtherCAT 3027:Bh
PROFINET 10006"
OFSv_target,"Target velocity for offset movement.
The maximum value is 5000 if the user-defined
scaling factor of the velocity scaling is 1.
This applies to the user-defined scaling factors.
Example: If the user-defined scaling factor of the
velocity scaling is 2 (ScaleVELnum = 2,
ScaleVELdenom = 1), the maximum value is
2500.
Modified settings become active immediately.","usr_v
1
60
2147483647","UINT32
R/W
per.
-","CANopen 3027:4h
Modbus 9992
Profibus 9992
CIP 139.1.4
ModbusTCP 9992
EtherCAT 3027:4h
PROFINET 9992"
OFS_Ramp,"Acceleration and deceleration for offset
movement.
Setting can only be modified if power stage is
disabled.
Modified settings become active the next time the
power stage is enabled.","usr_a
1
600
2147483647","UINT32
R/W
per.
-","CANopen 3027:6h
Modbus 9996
Profibus 9996
CIP 139.1.6
ModbusTCP 9996
EtherCAT 3027:6h
PROFINET 9996"
