Parameter name,Description,Unit,Data type,Parameter address
,,,,via fieldbus
HMI menu,,Minimum value,R/W,
HMI name,,Factory setting,Persistent,
,,Maximum value,Expert,
,22 / Positive Limit Switch (LIMP) /LiMP:,,,
,Positive limit switch,,,
,23 / Negative Limit Switch (LIMN) /LiMn:,,,
,Negative limit switch,,,
,24 / Switch Controller Parameter Set /CPAr:,,,
,Switches control loop parameter set,,,
,27 / Operating Mode Switch /MSWt: Switches,,,
,operating mode,,,
,28 / Velocity Controller Integral Off /tnoF:,,,
,Switches off velocity controller integral term,,,
,29 / Start Motion Sequence /StMS: Motion,,,
,Sequence: Starts a motion sequence,,,
,30 / Start Signal Of RMAC /SrMc: Start signal,,,
,of relative movement after capture (RMAC),,,
,31 / Activate RMAC /ArMc: Activates the,,,
,relative movement after capture (RMAC),,,
,32 / Activate Operating Mode /AcoP:,,,
,Activates operating mode,,,
,35 / Data Set Bit 4 /dSb4: Motion Sequence:,,,
,Data set bit 4,,,
,36 / Data Set Bit 5 /dSb5: Motion Sequence:,,,
,Data set bit 5,,,
,37 / Data Set Bit 6 /dSb6: Motion Sequence:,,,
,Data set bit 6,,,
,38 / Inversion AI11 (IO Module) /A11i:,,,
,Inverts analog input AI11 (I/O module),,,
,39 / Inversion AI12 (IO Module) /A12i:,,,
,Inverts analog input AI12 (I/O module),,,
,40 / Release Holding Brake /rEhb: Releases,,,
,the holding brake,,,
,Setting can only be modified if power stage is,,,
,disabled.,,,
,Modified settings become active the next time the,,,
,product is powered on.,,,
IOfunct_DI4,Function Input DI4.,-,UINT16,CANopen 3007:5h
ConF→i-o-,1 / Freely Available /nonE: Available as,-,R/W,Modbus 1802
,required,,,
di4,,-,per.,Profibus 1802
,2 / Fault Reset /FrES: Fault reset after error,,,
,,-,-,CIP 107.1.5
,3 / Enable /EnAb: Enables the power stage,,,
,,,,ModbusTCP 1802
,4 / Halt /hALt: Halt,,,
,,,,EtherCAT 3007:5h
,5 / Start Profile Positioning /SPtP: Start,,,
,request for movement,,,PROFINET 1802
,6 / Current Limitation /iLiM: Limits the,,,
,current to parameter value,,,
,7 / Zero Clamp /CLMP: Zero clamping,,,
,8 / Velocity Limitation /VLiM: Limits the,,,
,velocity to parameter value,,,
,9 / Jog Positive /JoGP: Jog: Moves in positive,,,
,direction,,,
,10 / Jog Negative /JoGn: Jog: Moves in,,,
,negative direction,,,
