"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
HMoutdis,"Maximum distance for search for switching point.
0: Monitoring of distance inactive
>0: Maximum distance
After detection of the switch, the drive starts to
search for the defined switching point. If the
defined switching point is not found within the
distance defined here, the reference movement is
canceled and an error is detected.
Modified settings become active the next time the
motor moves.","usr_p
0
0
2147483647","INT32
R/W
per.
-","CANopen 3028:6h
Modbus 10252
Profibus 10252
CIP 140.1.6
ModbusTCP 10252
EtherCAT 3028:6h
PROFINET 10252"
HMsrchdis,"Maximum search distance after overtravel of
switch.
0: Search distance monitoring disabled
>0: Search distance
The switch must be activated again within this
search distance, otherwise the reference
movement is canceled.
Modified settings become active the next time the
motor moves.","usr_p
0
0
2147483647","INT32
R/W
per.
-","CANopen 3028:Dh
Modbus 10266
Profibus 10266
CIP 140.1.13
ModbusTCP 10266
EtherCAT 3028:Dh
PROFINET 10266"
