"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
"CTRL1_KPp
ConF→drC-
PP1","Position controller P gain.
The default value is calculated.
In the case of switching between the two control
loop parameter sets, the values are changed
linearly over the time defined in the parameter
CTRL_ParChgTime.
In increments of 0.1 1/s.
Modified settings become active immediately.","1/s
2.0
-
900.0","UINT16
R/W
per.
-","CANopen 3012:3h
Modbus 4614
Profibus 4614
CIP 118.1.3
ModbusTCP 4614
EtherCAT 3012:3h
PROFINET 4614"
"CTRL2_KPp
ConF→drC-
PP2","Position controller P gain.
The default value is calculated.
In the case of switching between the two control
loop parameter sets, the values are changed
linearly over the time defined in the parameter
CTRL_ParChgTime.
In increments of 0.1 1/s.
Modified settings become active immediately.","1/s
2.0
-
900.0","UINT16
R/W
per.
-","CANopen 3013:3h
Modbus 4870
Profibus 4870
CIP 119.1.3
ModbusTCP 4870
EtherCAT 3013:3h
PROFINET 4870"
