"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
"GEARratio
ConF→i-o-
GFAC","Selection of gear ratio.
0 / Gear Factor /FAct: Usage of gear ratio
adjusted with GEARnum/GEARdenom
1 / 200 /200: 200
2 / 400 /400: 400
3 / 500 /500: 500
4 / 1000 /1000: 1000
5 / 2000 /2000: 2000
6 / 4000 /4000: 4000
7 / 5000 /5000: 5000
8 / 10000 /10.00: 10000
9 / 4096 /4096: 4096
10 / 8192 /8192: 8192
11 / 16384 /16.38: 16384
A change of the reference value by the specified
value causes one motor revolution.
Modified settings become active immediately.","-
0
0
11","UINT16
R/W
per.
-","CANopen 3026:6h
Modbus 9740
Profibus 9740
CIP 138.1.6
ModbusTCP 9740
EtherCAT 3026:6h
PROFINET 9740"
GEARselect,"Gear ratio selection.
Switches between two gear ratios:
Value 0: Use gear ratio defined by parameter
GEARratio
Value 1: Use gear ratio from parameters
GEARnum2/GEARdenom2
Modified settings become active immediately.","-
0
0
1","UINT16
R/W
-
-","CANopen 3026:Eh
Modbus 9756
Profibus 9756
CIP 138.1.14
ModbusTCP 9756
EtherCAT 3026:Eh
PROFINET 9756"
GEARnum,"Numerator of gear ratio.
Gear ratio = GEARnum / GEARdenom
The new gear ratio is applied when the numerator
value is supplied.
Modified settings become active immediately.","-
-2147483648
1
2147483647","INT32
R/W
per.
-","CANopen 3026:4h
Modbus 9736
Profibus 9736
CIP 138.1.4
ModbusTCP 9736
EtherCAT 3026:4h
PROFINET 9736"
GEARdenom,"Denominator of gear ratio.
See description GEARnum","-
1
1
2147483647","INT32
R/W
per.
-","CANopen 3026:3h
Modbus 9734
Profibus 9734
CIP 138.1.3
ModbusTCP 9734
EtherCAT 3026:3h
PROFINET 9734"
