"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
AT_mechanical,"Type of coupling of the system.
1 / Direct Coupling: Direct coupling
2 / Belt Axis: Belt axis
3 / Spindle Axis: Spindle axis
Modified settings become active the next time the
motor moves.","-
1
2
3","UINT16
R/W
-
-","CANopen 302F:Eh
Modbus 12060
Profibus 12060
CIP 147.1.14
ModbusTCP 12060
EtherCAT 302F:Eh
PROFINET 12060"
AT_start,"Autotuning start.
Value 0: Terminate
Value 1: Activate EasyTuning
Value 2: Activate ComfortTuning
Modified settings become active immediately.","-
0
-
2","UINT16
R/W
-
-","CANopen 302F:1h
Modbus 12034
Profibus 12034
CIP 147.1.1
ModbusTCP 12034
EtherCAT 302F:1h
PROFINET 12034"
