Parameter name,Description,Unit,Data type,Parameter address
,,,,via fieldbus
HMI menu,,Minimum value,R/W,
HMI name,,Factory setting,Persistent,
,,Maximum value,Expert,
eSM_FuncAUXOUT1,eSM function of status output AUXOUT1.,-,UINT32,-
,None: No function,-,R/W,
,/ESTOP: Signal state /ESTOP,-,per.,
,GUARD: Signal state GUARD,-,-,
,SETUPMODE: Signal state SETUPMODE,,,
,SETUPENABLE: Signal state SETUPENABLE,,,
,GUARD_ACK: Signal state GUARD_ACK,,,
,/INTERLOCK_IN: Signal state /INTERLOCK_IN,,,
,STO by eSM: Signal state of internal STO,,,
,RELAY: Signal state RELAY,,,
,/INTERLOCK_OUT: Signal state /INTERLOCK_,,,
,OUT,,,
,Standstill: Standstill (v = 0),,,
,SLS: SLS,,,
,Error class 4: Error of error class 4 detected,,,
,Error class 1 ... 4: Error of error classes 1 ... 4,,,
,detected,,,
,"/ESTOP inv.: Signal state /ESTOP, inverted",,,
,"GUARD inv.: Signal state GUARD, inverted",,,
,"SETUPMODE inv.: Signal state SETUPMODE,",,,
,inverted,,,
,SETUPENABLE inv.: Signal state,,,
,"SETUPENABLE, inverted",,,
,"GUARD_ACK inv.: Signal state GUARD_ACK,",,,
,inverted,,,
,/INTERLOCK_IN inv.: Signal state /INTERLOCK_,,,
,"IN, inverted",,,
,"STO by eSM inv.: Signal state of internal STO,",,,
,inverted,,,
,"RELAY inv.: Signal state RELAY, inverted",,,
,/INTERLOCK_OUT inv.: Signal state,,,
,"/INTERLOCK_OUT, inverted",,,
,"Standstill inv.: Standstill, inverted",,,
,"SLS inv.: SLS, inverted",,,
,Error class 4 inv.: Error of error class 4 detected,,,
,(inverted),,,
,Error class 1 ... 4 inv.: Error of error classes 1 ...,,,
,4 detected (inverted),,,
,Setting can only be modified if power stage is,,,
,disabled.,,,
,Available with firmware version ≥V01.01.,,,
eSM_FuncAUXOUT2,eSM function of status output AUXOUT2.,-,UINT32,-
,None: No function,-,R/W,
,/ESTOP: Signal state /ESTOP,-,per.,
,GUARD: Signal state GUARD,-,-,
,SETUPMODE: Signal state SETUPMODE,,,
