"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
HMmethod,"Homing method.
1: LIMN with index pulse
2: LIMP with index pulse
7: REF+ with index pulse, inv., outside
8: REF+ with index pulse, inv., inside
9: REF+ with index pulse, not inv., inside
10: REF+ with index pulse, not inv., outside
11: REF- with index pulse, inv., outside
12: REF- with index pulse, inv., inside
13: REF- with index pulse, not inv., inside
14: REF- with index pulse, not inv., outside
17: LIMN
18: LIMP
23: REF+, inv., outside
24: REF+, inv., inside
25: REF+, not inv., inside
26: REF+, not inv., outside
27: REF-, inv., outside
28: REF-, inv., inside
29: REF-, not inv., inside
30: REF-, not inv., outside
33: Index pulse negative direction
34: Index pulse positive direction
35: Position setting
Abbreviations:
REF+: Search movement in positive direction
REF-: Search movement in negative direction
inv.: Invert direction in switch
not inv.: Direction not inverted in switch
outside: Index pulse / distance outside switch
inside: Index pulse / distance inside switch
Modified settings become active immediately.
* Datatype for CANopen: INT8","-
1
18
35","INT16*
R/W
-
-","CANopen 6098:0h
Modbus 6936
Profibus 6936
CIP 127.1.12
ModbusTCP 6936
EtherCAT 6098:0h
PROFINET 6936"
"HMprefmethod
oP →hoM-
MEth","Preferred homing method.
Modified settings become active immediately.","-
1
18
35","INT16
R/W
per.
-","CANopen 3028:Ah
Modbus 10260
Profibus 10260
CIP 140.1.10
ModbusTCP 10260
EtherCAT 3028:Ah
PROFINET 10260"
