Parameter name,Description,Unit,Data type,Parameter address
,,,,via fieldbus
HMI menu,,Minimum value,R/W,
HMI name,,Factory setting,Persistent,
,,Maximum value,Expert,
,Bit 0 = 0: SLS independent of direction of,,,
,movement,,,
,Bit 0 = 1: SLS dependent on direction of,,,
,movement,,,
,Bits 1 ... 15: Reserved (must be set to 0),,,
,Setting can only be modified if power stage is,,,
,disabled.,,,
,Available with firmware version ≥V01.01.,,,
eSM_LO_mask,eSM digital outputs channel B mask.,-,UINT16,CANopen 304C:15h
,Mask of active digital outputs,-,R/W,Modbus 19498
,0: Digital output is not active,-,-,Profibus 19498
,1: Digital output is active,-,-,CIP 176.1.21
,Bit assignments:,,,ModbusTCP 19498
,See digital outputs channel.,,,EtherCAT 304C:15h
,Available with firmware version ≥V01.01.,,,PROFINET 19498
eSM_SLSnegDirS,eSM speed limit negative direction machine,RPM,UINT16,-
,operating mode Setup Mode.,,,
,,0,R/W,
,Firmware version safety module eSM ≥V01.01.,,,
,,0,per.,
,Parameter eSM_FuncSwitches Bit 0 = 1: Value =,,,
,Monitored speed limit for negative direction of,8000,-,
,movement.,,,
,Setting can only be modified if power stage is,,,
,disabled.,,,
,Available with firmware version ≥V01.01.,,,
eSM_t_NCDel,eSM time delay until start of monitored,ms,UINT16,-
,deceleration.,,,
,,0,R/W,
,This time can be adjusted to meet the,,,
,requirements of a controller.,0,per.,
,Setting can only be modified if power stage is,10000,-,
,disabled.,,,
,Available with firmware version ≥V01.01.,,,
eSM_t_Relay,eSM deactivation of output RELAY.,ms,UINT16,-
,Deactivation of the digital output RELAY:,0,R/W,
,"Value 0: Immediate, no time delay",0,per.,
,Value 1: At motor standstill (v = 0),10000,-,
,Value 2: At motor standstill (v = 0) and,,,
,/INTERLOCK_OUT = 1,,,
,"Value >2: Time delay in ms, deactivation of output",,,
,after this time has passed,,,
,Setting can only be modified if power stage is,,,
,disabled.,,,
,Available with firmware version ≥V01.01.,,,
