"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
IOsigLIMP,"Signal evaluation for positive limit switch.
0 / Inactive: Inactive
1 / Normally Closed: Normally closed NC
2 / Normally Open: Normally open NO
Setting can only be modified if power stage is
disabled.
Modified settings become active the next time the
power stage is enabled.","-
0
1
2","UINT16
R/W
per.
-","CANopen 3006:10h
Modbus 1568
Profibus 1568
CIP 106.1.16
ModbusTCP 1568
EtherCAT 3006:10h
PROFINET 1568"
IOsigLIMN,"Signal evaluation for negative limit switch.
0 / Inactive: Inactive
1 / Normally Closed: Normally closed NC
2 / Normally Open: Normally open NO
Setting can only be modified if power stage is
disabled.
Modified settings become active the next time the
power stage is enabled.","-
0
1
2","UINT16
R/W
per.
-","CANopen 3006:Fh
Modbus 1566
Profibus 1566
CIP 106.1.15
ModbusTCP 1566
EtherCAT 3006:Fh
PROFINET 1566"
