"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
"RAMP_v_jerk
ConF→drC-
JEr","Jerk limitation of the motion profile for velocity.
0 / Off /oFF: Off
1 / 1 /1: 1 ms
2 / 2 /2: 2 ms
4 / 4 /4: 4 ms
8 / 8 /8: 8 ms
16 / 16 /16: 16 ms
32 / 32 /32: 32 ms
64 / 64 /64: 64 ms
128 / 128 /128: 128 ms
Adjustments can only be made if the operating
mode is inactive (x_end=1).
Modified settings become active the next time the
motor moves.","ms
0
0
128","UINT16
R/W
per.
-","CANopen 3006:Dh
Modbus 1562
Profibus 1562
CIP 106.1.13
ModbusTCP 1562
EtherCAT 3006:Dh
PROFINET 1562"
