Parameter name,Description,Unit,Data type,Parameter address
,,,,via fieldbus
HMI menu,,Minimum value,R/W,
HMI name,,Factory setting,Persistent,
,,Maximum value,Expert,
_AccessInfo,Access channel information.,-,UINT16,CANopen 3001:Ch
,Low byte: Exclusive access,-,R/-,Modbus 280
,Value 0: No,-,-,Profibus 280
,Value 1: Yes,-,-,CIP 101.1.12
,High byte: Access channel,,,ModbusTCP 280
,Value 0: Reserved,,,EtherCAT 3001:Ch
,Value 1: I/O,,,PROFINET 280
,Value 2: HMI,,,
,Value 3: Modbus RS485,,,
,Value 4: Fieldbus main channel,,,
,Value 5:,,,
,CAN module: CANopen second SDO,,,
,ETH module (Modbus TCP): Modbus TCP,,,
,ETH module (Ethernet/IP): Reserved,,,
,PDP module: Profibus Master Class 2,,,
,PNT module (Modbus TCP): Modbus TCP,,,
,Values 6 ... 12:,,,
,ETH module (Modbus TCP): Modbus TCP,,,
,ETH module (Ethernet/IP): Reserved,,,
,Values 13 ... 28: Ethernet/IP explicit channels 0 to,,,
,15,,,
AccessLock,Locking other access channels.,-,UINT16,CANopen 3001:Eh
,Value 0: Allow control via other access channels,0,R/W,Modbus 284
,Value 1: Lock control via other access channels,0,-,Profibus 284
,Example:,1,-,CIP 101.1.14
,The access channel is used by the fieldbus.,,,ModbusTCP 284
,"In this case, control via the commissioning",,,EtherCAT 3001:Eh
,"software, for example, is not possible.",,,
,,,,PROFINET 284
,The access channel can only be locked after the,,,
,currently active operating mode has terminated.,,,
,Modified settings become active immediately.,,,
HMIlocked,Lock HMI.,-,UINT16,CANopen 303A:1h
,0 / Not Locked /nLoc: HMI not locked,0,R/W,Modbus 14850
,1 / Locked /Loc: HMI locked,0,per.,Profibus 14850
,The following functions can no longer be started,1,-,CIP 158.1.1
,when the HMI is locked:,,,
,,,,ModbusTCP 14850
,- Parameter change,,,
,,,,EtherCAT 303A:1h
,- Jog,,,
,,,,PROFINET 14850
,- Autotuning,,,
,- Fault Reset,,,
,Modified settings become active immediately.,,,
