"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
_Cap1CountCons,"Capture input 1 event counter (continuous).
Counts the capture events.
The event counter is reset when capture input 1 is
activated.
By reading this parameter, the parameter
""_Cap1PosCons"" is updated and locked so it
cannot be changed. Both parameter values
remain consistent.
Available with firmware version ≥V01.12.","-
-
-
-","UINT16
R/-
-
-","CANopen 300A:17h
Modbus 2606
Profibus 2606
CIP 110.1.23
ModbusTCP 2606
EtherCAT 300A:17h
PROFINET 2606"
_Cap1PosCons,"Capture input 1 captured position (continuous).
Captured position at the time of the ""capture
signal"".
The captured position is re-calculated after
""Position Setting"" or ""Reference Movement"".
By reading the parameter ""_Cap1CountCons"",
this parameter is updated and locked so it cannot
be changed. Both parameter values remain
consistent.
Available with firmware version ≥V01.12.","usr_p
-
-
-","INT32
R/-
-
-","CANopen 300A:18h
Modbus 2608
Profibus 2608
CIP 110.1.24
ModbusTCP 2608
EtherCAT 300A:18h
PROFINET 2608"
_Cap2CountCons,"Capture input 2 event counter (continuous).
Counts the capture events.
The event counter is reset when capture input 2 is
activated.
By reading this parameter, the parameter
""_Cap2PosCons"" is updated and locked so it
cannot be changed. Both parameter values
remain consistent.
Available with firmware version ≥V01.12.","-
-
-
-","UINT16
R/-
-
-","CANopen 300A:19h
Modbus 2610
Profibus 2610
CIP 110.1.25
ModbusTCP 2610
EtherCAT 300A:19h
PROFINET 2610"
_Cap2PosCons,"Capture input 2 captured position (continuous).
Captured position at the time of the ""capture
signal"".
The captured position is re-calculated after
""Position Setting"" or ""Reference Movement"".
By reading the parameter ""_Cap2CountCons"",
this parameter is updated and locked so it cannot
be changed. Both parameter values remain
consistent.
Available with firmware version ≥V01.12.","usr_p
-
-
-","INT32
R/-
-
-","CANopen 300A:1Ah
Modbus 2612
Profibus 2612
CIP 110.1.26
ModbusTCP 2612
EtherCAT 300A:1Ah
PROFINET 2612"
