"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
"MON_v_DiffWin
MO","Monitoring of velocity deviation.
The system monitors whether the drive is within
the defined deviation during the period set with
MON_ChkTime.
The status can be output via a parameterizable
output.
_ChkTime
Modified settings become active immediately.","usr_v
1
10
2147483647","UINT32
R/W
per.
-","CANopen 3006:1Ah
Modbus 1588
Profibus 1588
CIP 106.1.26
ModbusTCP 1588
EtherCAT 3006:1Ah
PROFINET 1588"
"MON_ChkTime
ConF→i-o-
tthr","Monitoring of time window.
Adjustment of a time for monitoring of position
deviation, velocity deviation, velocity value and
current value. If the monitored value is in the
permissible range during the adjusted time, the
monitoring function delivers a positive result.
The status can be output via a parameterizable
output.
Modified settings become active immediately.","ms
0
0
9999","UINT16
R/W
per.
-","CANopen 3006:1Dh
Modbus 1594
Profibus 1594
CIP 106.1.29
ModbusTCP 1594
EtherCAT 3006:1Dh
PROFINET 1594"
