"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
_Cap1Pos,"Capture input 1 captured position (one-time).
Captured position at the time of the ""capture
signal"".
The captured position is re-calculated after
""Position Setting"" or ""Reference Movement"".","usr_p
-
-
-","INT32
R/-
-
-","CANopen 300A:6h
Modbus 2572
Profibus 2572
CIP 110.1.6
ModbusTCP 2572
EtherCAT 300A:6h
PROFINET 2572"
_Cap2Pos,"Capture input 2 captured position (one-time).
Captured position at the time of the ""capture
signal"".
The captured position is re-calculated after
""Position Setting"" or ""Reference Movement"".","usr_p
-
-
-","INT32
R/-
-
-","CANopen 300A:7h
Modbus 2574
Profibus 2574
CIP 110.1.7
ModbusTCP 2574
EtherCAT 300A:7h
PROFINET 2574"
_Cap3Pos,"Capture input 3 captured position (one-time).
Captured position at the time of the ""capture
signal"".
The captured position is re-calculated after
""Position Setting"" or ""Reference Movement"".
Available with hardware version ≥RS03.","usr_p
-
-
-","INT32
R/-
-
-","CANopen 300A:13h
Modbus 2598
Profibus 2598
CIP 110.1.19
ModbusTCP 2598
EtherCAT 300A:13h
PROFINET 2598"
