"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
"AT_dir
oP →tun-
StiM","Direction of movement for Autotuning.
1 / Positive Negative Home /Pnh: Positive
direction first, then negative direction with return to
initial position
2 / Negative Positive Home /nPh: Negative
direction first, then positive direction with return to
initial position
3 / Positive Home /P-h: Positive direction only
with return to initial position
4 / Positive /P--: Positive direction only
without return to initial position
5 / Negative Home /n-h: Negative direction
only with return to initial position
6 / Negative /n--: Negative direction only
without return to initial position
Modified settings become active the next time the
motor moves.","-
1
1
6","UINT16
R/W
-
-","CANopen 302F:4h
Modbus 12040
Profibus 12040
CIP 147.1.4
ModbusTCP 12040
EtherCAT 302F:4h
PROFINET 12040"
AT_dis_usr,"Movement range for Autotuning.
Movement range within which the control
parameters are automatically optimized. The
movement range is entered with reference to the
actual position.
In the case of ""Movement in one direction only""
(Parameter AT_dir), the specified range is used
for each optimization step. The movement
typically corresponds to 20 times the value, but it
is not limited.
The minimum value, the factory setting and the
maximum value depend on the scaling factor.
Modified settings become active the next time the
motor moves.
Available with firmware version ≥V01.03.","usr_p
1
32768
2147483647","INT32
R/W
-
-","CANopen 302F:12h
Modbus 12068
Profibus 12068
CIP 147.1.18
ModbusTCP 12068
EtherCAT 302F:12h
PROFINET 12068"
