"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
_RES_overload,"Overload of braking resistor (I2t).
The braking resistor set via parameter RESint_ext
is monitored.","%
-
-
-","INT16
R/-
-
-","CANopen 301C:13h
Modbus 7206
Profibus 7206
CIP 128.1.19
ModbusTCP 7206
EtherCAT 301C:13h
PROFINET 7206"
_RES_maxoverload,"Maximum value of overload of braking resistor.
Maximum overload of braking resistor during the
last 10 seconds.
The braking resistor set via parameter RESint_ext
is monitored.","%
-
-
-","INT16
R/-
-
-","CANopen 301C:15h
Modbus 7210
Profibus 7210
CIP 128.1.21
ModbusTCP 7210
EtherCAT 301C:15h
PROFINET 7210"
