"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
_MSM_error_num,"Number of the data set in which an error has been
detected.
Value -1: No error
Values 0 ... 127: Number of the data set in which
an error has been detected.
Available with firmware version ≥V01.09.","-
-1
-1
127","INT16
R/-
-
-","CANopen 302D:Dh
Modbus 11546
Profibus 11546
CIP 145.1.13
ModbusTCP 11546
EtherCAT 302D:Dh
PROFINET 11546"
_MSM_error_field,"Field of the data set in which an error has been
detected.
Value -1: No error
Value 0: Data set type
Value 1: Setting A
Value 2: Setting B
Value 3: Setting C
Value 4: Setting D
Value 5: Transition type
Value 6: Subsequent data set
Value 7: Transition condition 1
Value 8: Transition value 1
Value 9: Logical operator
Value 10: Transition condition 2
Value 11: Transition value 2
Available with firmware version ≥V01.09.","-
-1
-1
11","INT16
R/-
-
-","CANopen 302D:Eh
Modbus 11548
Profibus 11548
CIP 145.1.14
ModbusTCP 11548
EtherCAT 302D:Eh
PROFINET 11548"
