"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
MON_v_Threshold,"Monitoring of velocity threshold.
The system monitors whether the drive is below
the defined value during the period set with MON_
ChkTime.
The status can be output via a parameterizable
output.
Modified settings become active immediately.","usr_v
1
10
2147483647","UINT32
R/W
per.
-","CANopen 3006:1Bh
Modbus 1590
Profibus 1590
CIP 106.1.27
ModbusTCP 1590
EtherCAT 3006:1Bh
PROFINET 1590"
"MON_ChkTime
ConF→i-o-
tthr","Monitoring of time window.
Adjustment of a time for monitoring of position
deviation, velocity deviation, velocity value and
current value. If the monitored value is in the
permissible range during the adjusted time, the
monitoring function delivers a positive result.
The status can be output via a parameterizable
output.
Modified settings become active immediately.","ms
0
0
9999","UINT16
R/W
per.
-","CANopen 3006:1Dh
Modbus 1594
Profibus 1594
CIP 106.1.29
ModbusTCP 1594
EtherCAT 3006:1Dh
PROFINET 1594"
