Parameter name,Description,Unit,Data type,Parameter address
,,,,via fieldbus
HMI menu,,Minimum value,R/W,
HMI name,,Factory setting,Persistent,
,,Maximum value,Expert,
_ERR_temp_ps,Temperature of power stage at the time the error,°C,INT16,CANopen 303C:Ah
,was detected.,,,
,,-,R/-,Modbus 15380
,,-,-,Profibus 15380
,,-,-,CIP 160.1.10
,,,,ModbusTCP 15380
,,,,EtherCAT 303C:Ah
,,,,PROFINET 15380
_ERR_time,Time of detection of error.,s,UINT32,CANopen 303C:3h
,With reference to operating hours counter,0,R/-,Modbus 15366
,,-,-,Profibus 15366
,,536870911,-,CIP 160.1.3
,,,,ModbusTCP 15366
,,,,EtherCAT 303C:3h
,,,,PROFINET 15366
_ErrNumFbParSvc,Last error code of fieldbus parameter services.,-,UINT16,CANopen 3040:43h
,Some fieldbusses only provide general error,-,R/-,Modbus 16518
,codes if a request for a parameter service is not,,,
,successful. This parameter returns the vendor-,-,-,Profibus 16518
,specific error code of the last unsuccessful,,,
,service.,-,-,CIP 164.1.67
,,,,ModbusTCP 16518
,,,,EtherCAT 3040:43h
,,,,PROFINET 16518
_eSM_funct,eSM function.,-,UINT16,CANopen 304C:17h
Mon,Active eSM function,-,R/-,Modbus 19502
SMoP,Value 0: Safe Torque Off (STO),-,-,Profibus 19502
,Value 1: No function active,-,-,CIP 176.1.23
,Value 2: Safe Operating Stop (SOS),,,ModbusTCP 19502
,Value 3: Safely Limited Speed (SLS),,,EtherCAT 304C:17h
,Value 4: Reserved,,,PROFINET 19502
,Value 5: Safe Stop 1 (SS1),,,
,Value 6: Safe Stop 2 (SS2),,,
,Value 7: Safe Operating Stop (SOS) after error,,,
,Value 8: Safely Limited Speed (SLS) in machine,,,
,operating mode Automatic Mode,,,
,If bit 15 of the value is set: GUARD_ACK was,,,
,triggered,,,
,Available with firmware version ≥V01.01.,,,
