Parameter name,Description,Unit,Data type,Parameter address
,,,,via fieldbus
HMI menu,,Minimum value,R/W,
HMI name,,Factory setting,Persistent,
,,Maximum value,Expert,
MON_VelDiff,Maximum load-dependent velocity deviation.,usr_v,UINT32,CANopen 3006:4Bh
,Value 0: Monitoring deactivated.,0,R/W,Modbus 1686
,Value >0: Maximum value,0,per.,Profibus 1686
,Modified settings become active immediately.,2147483647,-,CIP 106.1.75
,Available with firmware version ≥V01.26.,,,ModbusTCP 1686
,,,,EtherCAT 3006:4Bh
,,,,PROFINET 1686
MON_VelDiff_Time,Time window for maximum load-dependent,ms,UINT16,CANopen 3006:4Ch
,velocity deviation.,,,
,,0,R/W,Modbus 1688
,Value 0: Monitoring deactivated.,,,
,,10,per.,Profibus 1688
,Value >0: Time window for maximum value,,,
,,-,-,CIP 106.1.76
,Modified settings become active immediately.,,,
,,,,ModbusTCP 1688
,Available with firmware version ≥V01.26.,,,
,,,,EtherCAT 3006:4Ch
,,,,PROFINET 1688
