Parameter name,Description,Unit,Data type,Parameter address
,,,,via fieldbus
HMI menu,,Minimum value,R/W,
HMI name,,Factory setting,Persistent,
,,Maximum value,Expert,
CTRL1_Nf2bandw,Notch filter 2: Bandwidth.,%,UINT16,CANopen 3012:Dh
,Definition of bandwidth: 1 - Fb/F0,1.0,R/W,Modbus 4634
,In increments of 0.1 %.,70.0,per.,Profibus 4634
,Modified settings become active immediately.,90.0,expert,CIP 118.1.13
,,,,ModbusTCP 4634
,,,,EtherCAT 3012:Dh
,,,,PROFINET 4634
CTRL1_Nf2damp,Notch filter 2: Damping.,%,UINT16,CANopen 3012:Bh
,In increments of 0.1 %.,55.0,R/W,Modbus 4630
,Modified settings become active immediately.,90.0,per.,Profibus 4630
,,99.0,expert,CIP 118.1.11
,,,,ModbusTCP 4630
,,,,EtherCAT 3012:Bh
,,,,PROFINET 4630
CTRL1_Nf2freq,Notch filter 2: Frequency.,Hz,UINT16,CANopen 3012:Ch
,The filter is deactivated at a value of 15000.,50.0,R/W,Modbus 4632
,In increments of 0.1 Hz.,1500.0,per.,Profibus 4632
,Modified settings become active immediately.,1500.0,expert,CIP 118.1.12
,,,,ModbusTCP 4632
,,,,EtherCAT 3012:Ch
,,,,PROFINET 4632
CTRL1_Osupdamp,Overshoot suppression filter: Damping.,%,UINT16,CANopen 3012:Eh
,The filter is deactivated at a value of 0.,0.0,R/W,Modbus 4636
,In increments of 0.1 %.,0.0,per.,Profibus 4636
,Modified settings become active immediately.,50.0,expert,CIP 118.1.14
,,,,ModbusTCP 4636
,,,,EtherCAT 3012:Eh
,,,,PROFINET 4636
CTRL1_Osupdelay,Overshoot suppression filter: Time delay.,ms,UINT16,CANopen 3012:Fh
,The filter is deactivated at a value of 0.,0.00,R/W,Modbus 4638
,In increments of 0.01 ms.,0.00,per.,Profibus 4638
,Modified settings become active immediately.,75.00,expert,CIP 118.1.15
,,,,ModbusTCP 4638
,,,,EtherCAT 3012:Fh
,,,,PROFINET 4638
