"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
RMAC_Position,"Target position of relative movement after capture.
Minimum/maximum values depend on:
- Scaling factor
Modified settings become active the next time the
motor moves.
Available with firmware version ≥V01.10.","usr_p
-
0
-","INT32
R/W
per.
-","CANopen 3023:Dh
Modbus 8986
Profibus 8986
CIP 135.1.13
ModbusTCP 8986
EtherCAT 3023:Dh
PROFINET 8986"
RMAC_Velocity,"Velocity of relative movement after capture.
Value 0: Use actual motor velocity
Value >0: Value is the target velocity
The adjustable value is internally limited to the
setting in RAMP_v_max.
Modified settings become active the next time the
motor moves.
Available with firmware version ≥V01.10.","usr_v
0
0
2147483647","UINT32
R/W
per.
-","CANopen 3023:Eh
Modbus 8988
Profibus 8988
CIP 135.1.14
ModbusTCP 8988
EtherCAT 3023:Eh
PROFINET 8988"
