"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
"HMv
oP →hoM-
hMn","Target velocity for searching the switch.
The adjustable value is internally limited to the
parameter setting in RAMP_v_max.
Modified settings become active the next time the
motor moves.","usr_v
1
60
2147483647","UINT32
R/W
per.
-","CANopen 6099:1h
Modbus 10248
Profibus 10248
CIP 140.1.4
ModbusTCP 10248
EtherCAT 6099:1h
PROFINET 10248"
HMv_out,"Target velocity for moving away from switch.
The adjustable value is internally limited to the
parameter setting in RAMP_v_max.
Modified settings become active the next time the
motor moves.","usr_v
1
6
2147483647","UINT32
R/W
per.
-","CANopen 6099:2h
Modbus 10250
Profibus 10250
CIP 140.1.5
ModbusTCP 10250
EtherCAT 6099:2h
PROFINET 10250"
