Parameter name,Description,Unit,Data type,Parameter address
,,,,via fieldbus
HMI menu,,Minimum value,R/W,
HMI name,,Factory setting,Persistent,
,,Maximum value,Expert,
DPL_dmControl,Drive Profile Lexium dmControl.,-,UINT16,CANopen 301B:1Fh
,,-,R/W,Modbus 6974
,,-,-,Profibus 6974
,,-,-,CIP 127.1.31
,,,,ModbusTCP 6974
,,,,EtherCAT 301B:1Fh
,,,,PROFINET 6974
DPL_intLim,Setting for bit 9 of _DPL_motionStat and,-,UINT16,CANopen 301B:35h
,_actionStatus.,,,
,,0,R/W,Modbus 7018
,0 / None: Not used (reserved),,,
,,11,per.,Profibus 7018
,1 / Current Below Threshold: Current threshold,,,
,value,11,-,CIP 127.1.53
,2 / Velocity Below Threshold: Velocity threshold,,,ModbusTCP 7018
,value,,,
,,,,EtherCAT 301B:35h
,3 / In Position Deviation Window: Position,,,
,deviation window,,,PROFINET 7018
,4 / In Velocity Deviation Window: Velocity,,,
,deviation window,,,
,5 / Position Register Channel 1: Position,,,
,register channel 1,,,
,6 / Position Register Channel 2: Position,,,
,register channel 2,,,
,7 / Position Register Channel 3: Position,,,
,register channel 3,,,
,8 / Position Register Channel 4: Position,,,
,register channel 4,,,
,9 / Hardware Limit Switch: Hardware limit switch,,,
,10 / RMAC active or finished: Relative,,,
,movement after capture is active or finished,,,
,11 / Position Window: Position window,,,
,Setting for:,,,
,Bit 9 of the parameter _actionStatus,,,
,Bit 9 of the parameter _DPL_motionStat,,,
,Modified settings become active immediately.,,,
,Available with firmware version ≥V01.08.,,,
DPL_RefA16,Drive Profile Lexium RefA16.,-,INT16,CANopen 301B:22h
,,-,R/W,Modbus 6980
,,-,-,Profibus 6980
,,-,-,CIP 127.1.34
,,,,ModbusTCP 6980
,,,,EtherCAT 301B:22h
,,,,PROFINET 6980
