"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
_AccessInfo,"Access channel information.
Low byte: Exclusive access
Value 0: No
Value 1: Yes
High byte: Access channel
Value 0: Reserved
Value 1: I/O
Value 2: HMI
Value 3: Modbus RS485
Value 4: Fieldbus main channel
Value 5:
CAN module: CANopen second SDO
ETH module (Modbus TCP): Modbus TCP
ETH module (Ethernet/IP): Reserved
PDP module: Profibus Master Class 2
PNT module (Modbus TCP): Modbus TCP
Values 6 ... 12:
ETH module (Modbus TCP): Modbus TCP
ETH module (Ethernet/IP): Reserved
Values 13 ... 28: Ethernet/IP explicit channels 0 to
15","-
-
-
-","UINT16
R/-
-
-","CANopen 3001:Ch
Modbus 280
Profibus 280
CIP 101.1.12
ModbusTCP 280
EtherCAT 3001:Ch
PROFINET 280"
_actionStatus,"Action word.
Signal state:
0: Not activated
1: Activated
Bit assignments:
Bit 0: Error class 0
Bit 1: Error class 1
Bit 2: Error class 2
Bit 3: Error class 3
Bit 4: Error class 4
Bit 5: Reserved
Bit 6: Motor is at a standstill (_n_act < 9 RPM)
Bit 7: Motor movement in positive direction
Bit 8: Motor movement in negative direction
Bit 9: Assignment can be set via parameter DPL_
intLim","-
-
-
-","UINT16
R/-
-
-","CANopen 301C:4h
Modbus 7176
Profibus 7176
CIP 128.1.4
ModbusTCP 7176
EtherCAT 301C:4h
PROFINET 7176"
