"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
MON_p_DiffWin_usr,"Monitoring of position deviation.
The system verifies whether the drive is within the
defined deviation during the period set with MON_
ChkTime.
The status can be output via a parameterizable
output.
The minimum value, the factory setting and the
maximum value depend on the scaling factor.
Modified settings become active immediately.
Available with firmware version ≥V01.03.","usr_p
0
16
2147483647","INT32
R/W
per.
-","CANopen 3006:3Fh
Modbus 1662
Profibus 1662
CIP 106.1.63
ModbusTCP 1662
EtherCAT 3006:3Fh
PROFINET 1662"
"MON_ChkTime
ConF→i-o-
tthr","Monitoring of time window.
Adjustment of a time for monitoring of position
deviation, velocity deviation, velocity value and
current value. If the monitored value is in the
permissible range during the adjusted time, the
monitoring function delivers a positive result.
The status can be output via a parameterizable
output.
Modified settings become active immediately.","ms
0
0
9999","UINT16
R/W
per.
-","CANopen 3006:1Dh
Modbus 1594
Profibus 1594
CIP 106.1.29
ModbusTCP 1594
EtherCAT 3006:1Dh
PROFINET 1594"
