"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
_ERR_class,"Error class.
Value 0: Error class 0
Value 1: Error class 1
Value 2: Error class 2
Value 3: Error class 3
Value 4: Error class 4","-
0
-
4","UINT16
R/-
-
-","CANopen 303C:2h
Modbus 15364
Profibus 15364
CIP 160.1.2
ModbusTCP 15364
EtherCAT 303C:2h
PROFINET 15364"
_ERR_number,"Error code.
Reading this parameter copies the entire entry for
the detected error (error class, time of detection of
error, ...) to an intermediate memory from which
the elements of the detected error can then be
read.
In addition, the read pointer of the error memory is
automatically set to the next error entry.","-
0
-
65535","UINT16
R/-
-
-","CANopen 303C:1h
Modbus 15362
Profibus 15362
CIP 160.1.1
ModbusTCP 15362
EtherCAT 303C:1h
PROFINET 15362"
_ERR_motor_I,"Motor current at the time the error was detected.
In increments of 0.01 Arms.","Arms
-
-
-","UINT16
R/-
-
-","CANopen 303C:9h
Modbus 15378
Profibus 15378
CIP 160.1.9
ModbusTCP 15378
EtherCAT 303C:9h
PROFINET 15378"
"_ERR_powerOn
Mon
PoWo",Number of power on cycles.,"-
0
-
4294967295","UINT32
R/-
-
-","CANopen 303B:2h
Modbus 15108
Profibus 15108
CIP 159.1.2
ModbusTCP 15108
EtherCAT 303B:2h
PROFINET 15108"
_ERR_qual,"Additional information on detected error.
This entry contains additional information on the
detected error, depending on the error number.
Example: a parameter address","-
0
-
65535","UINT16
R/-
-
-","CANopen 303C:4h
Modbus 15368
Profibus 15368
CIP 160.1.4
ModbusTCP 15368
EtherCAT 303C:4h
PROFINET 15368"
