"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
SyncMechStart,"Activation of synchronization mechanism.
Value 0: Deactivate synchronization mechanism
Value 1: Activate synchronization mechanism
(CANmotion).
Value 2: Activate synchronization mechanism,
standard CANopen mechanism.
The cycle time of the synchronization signal is
derived from the parameters intTimPerVal and
intTimInd.
Modified settings become active immediately.","-
0
0
2","UINT16
R/W
-
-","CANopen 3022:5h
Modbus 8714
Profibus 8714
CIP 134.1.5
ModbusTCP 8714
EtherCAT 3022:5h
PROFINET 8714"
SyncMechTol,"Synchronization tolerance.
The value is applied when the synchronization
mechanism is activated via the parameter
SyncMechStart.
Modified settings become active immediately.
Available with firmware version ≥V01.08.","-
1
1
20","UINT16
R/W
-
-","CANopen 3022:4h
Modbus 8712
Profibus 8712
CIP 134.1.4
ModbusTCP 8712
EtherCAT 3022:4h
PROFINET 8712"
SyncMechStatus,"Status of synchronization mechanism.
Status of synchronization mechanism:
Value 1: Synchronization mechanism of drive is
inactive.
Value 32: Drive is synchronizing with external
sync signal.
Value 64: Drive is synchronized with external sync
signal.
Available with firmware version ≥V01.08.","-
-
-
-","UINT16
R/-
-
-","CANopen 3022:6h
Modbus 8716
Profibus 8716
CIP 134.1.6
ModbusTCP 8716
EtherCAT 3022:6h
PROFINET 8716"
