"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
"CTRL_GlobGain
oP →tun-
GAin","Global gain factor (affects control loop parameter
set 1).
The global gain factor affects the following
parameters of control loop parameter set 1:
- CTRL_KPn
- CTRL_TNn
- CTRL_KPp
- CTRL_TAUnref
The global gain factor is set to 100%
- if the control loop parameters are set to default
- at the end of the Autotuning process
- if control loop parameter set 2 is copied to set 1
via the parameter CTRL_ParSetCopy
If a full configuration is transmitted via the fieldbus,
the value for CTRL_GlobGain must be transmitted
prior to the values of the control loop parameters
CTRL_KPn, CTRL_TNn, CTRL_KPp and CTRL_
TAUnref. If CTRL_GlobGain is changed during a
configuration transmission, CTRL_KPn, CTRL_
TNn, CTRL_KPp and CTRL_TAUnref must also
be part of the configuration.
In increments of 0.1 %.
Modified settings become active immediately.","%
5.0
100.0
1000.0","UINT16
R/W
per.
-","CANopen 3011:15h
Modbus 4394
Profibus 4394
CIP 117.1.21
ModbusTCP 4394
EtherCAT 3011:15h
PROFINET 4394"
_AT_M_friction,"Friction torque of the system.
Is determined during Autotuning.
In increments of 0.01 Arms.","Arms
-
-
-","UINT16
R/-
-
-","CANopen 302F:7h
Modbus 12046
Profibus 12046
CIP 147.1.7
ModbusTCP 12046
EtherCAT 302F:7h
PROFINET 12046"
