"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
MOD_Min,"Minimum position of modulo range.
The minimum position value of the modulo range
must be less than the maximum position value of
the modulo range.
The value must not exceed the maximum possible
value of position scaling _ScalePOSmax.
Setting can only be modified if power stage is
disabled.
Modified settings become active immediately.
Available with firmware version ≥V01.01.","usr_p
-
0
-","INT32
R/W
per.
-","CANopen 3006:39h
Modbus 1650
Profibus 1650
CIP 106.1.57
ModbusTCP 1650
EtherCAT 3006:39h
PROFINET 1650"
MOD_Max,"Maximum position of modulo range.
The maximum position value of the modulo range
must be greater than the minimum position value
of the modulo range.
The value must not exceed the maximum possible
value of position scaling _ScalePOSmax.
Setting can only be modified if power stage is
disabled.
Modified settings become active immediately.
Available with firmware version ≥V01.01.","usr_p
-
3600
-","INT32
R/W
per.
-","CANopen 3006:3Ah
Modbus 1652
Profibus 1652
CIP 106.1.58
ModbusTCP 1652
EtherCAT 3006:3Ah
PROFINET 1652"
