Parameter name,Description,Unit,Data type,Parameter address
,,,,via fieldbus
HMI menu,,Minimum value,R/W,
HMI name,,Factory setting,Persistent,
,,Maximum value,Expert,
AT_dis,Movement range for Autotuning.,revolution,UINT32,CANopen 302F:3h
,Movement range within which the control,1.0,R/W,Modbus 12038
,parameters are automatically optimized. The,,,
,movement range is entered with reference to the,2.0,-,Profibus 12038
,actual position.,,,
,,999.9,-,CIP 147.1.3
,"In the case of ""Movement in one direction only""",,,
,"(Parameter AT_dir), the specified movement",,,ModbusTCP 12038
,range is used for each optimization step. The,,,
,movement typically corresponds to 20 times the,,,EtherCAT 302F:3h
,"value, but it is not limited.",,,
,,,,PROFINET 12038
,The parameter AT_dis_usr allows you to enter the,,,
,value in user-defined units.,,,
,In increments of 0.1 revolution.,,,
,Modified settings become active the next time the,,,
,motor moves.,,,
AT_dis_usr,Movement range for Autotuning.,usr_p,INT32,CANopen 302F:12h
,Movement range within which the control,1,R/W,Modbus 12068
,parameters are automatically optimized. The,,,
,movement range is entered with reference to the,32768,-,Profibus 12068
,actual position.,,,
,,2147483647,-,CIP 147.1.18
,"In the case of ""Movement in one direction only""",,,
,"(Parameter AT_dir), the specified range is used",,,ModbusTCP 12068
,for each optimization step. The movement,,,
,"typically corresponds to 20 times the value, but it",,,EtherCAT 302F:12h
,is not limited.,,,
,,,,PROFINET 12068
,"The minimum value, the factory setting and the",,,
,maximum value depend on the scaling factor.,,,
,Modified settings become active the next time the,,,
,motor moves.,,,
,Available with firmware version ≥V01.03.,,,
AT_mechanical,Type of coupling of the system.,-,UINT16,CANopen 302F:Eh
,1 / Direct Coupling: Direct coupling,1,R/W,Modbus 12060
,2 / Belt Axis: Belt axis,2,-,Profibus 12060
,3 / Spindle Axis: Spindle axis,3,-,CIP 147.1.14
,Modified settings become active the next time the,,,ModbusTCP 12060
,motor moves.,,,
,,,,EtherCAT 302F:Eh
,,,,PROFINET 12060
AT_n_ref,Velocity jump for Autotuning.,RPM,UINT32,CANopen 302F:6h
,The parameter AT_v_ref allows you to enter the,10,R/W,Modbus 12044
,value in user-defined units.,,,
,,100,-,Profibus 12044
,Modified settings become active the next time the,,,
,motor moves.,1000,-,CIP 147.1.6
,,,,ModbusTCP 12044
,,,,EtherCAT 302F:6h
,,,,PROFINET 12044
