Parameter name,Description,Unit,Data type,Parameter address
,,,,via fieldbus
HMI menu,,Minimum value,R/W,
HMI name,,Factory setting,Persistent,
,,Maximum value,Expert,
,17 / Data Set Bit 2 /dSb2: Motion Sequence:,,,
,Data set bit 2,,,
,18 / Data Set Bit 3 /dSb3: Motion Sequence:,,,
,Data set bit 3,,,
,19 / Gear Offset 1 /GoF1: Electronic Gear:,,,
,Adds first gear offset,,,
,20 / Gear Offset 2 /GoF2: Electronic Gear:,,,
,Adds second gear offset,,,
,21 / Reference Switch (REF) /rEF: Reference,,,
,switch,,,
,22 / Positive Limit Switch (LIMP) /LiMP:,,,
,Positive limit switch,,,
,23 / Negative Limit Switch (LIMN) /LiMn:,,,
,Negative limit switch,,,
,24 / Switch Controller Parameter Set /CPAr:,,,
,Switches control loop parameter set,,,
,27 / Operating Mode Switch /MSWt: Switches,,,
,operating mode,,,
,28 / Velocity Controller Integral Off /tnoF:,,,
,Switches off velocity controller integral term,,,
,29 / Start Motion Sequence /StMS: Motion,,,
,Sequence: Starts a motion sequence,,,
,30 / Start Signal Of RMAC /SrMc: Start signal,,,
,of relative movement after capture (RMAC),,,
,31 / Activate RMAC /ArMc: Activates the,,,
,relative movement after capture (RMAC),,,
,32 / Activate Operating Mode /AcoP:,,,
,Activates operating mode,,,
,35 / Data Set Bit 4 /dSb4: Motion Sequence:,,,
,Data set bit 4,,,
,36 / Data Set Bit 5 /dSb5: Motion Sequence:,,,
,Data set bit 5,,,
,37 / Data Set Bit 6 /dSb6: Motion Sequence:,,,
,Data set bit 6,,,
,38 / Inversion AI11 (IO Module) /A11i:,,,
,Inverts analog input AI11 (I/O module),,,
,39 / Inversion AI12 (IO Module) /A12i:,,,
,Inverts analog input AI12 (I/O module),,,
,40 / Release Holding Brake /rEhb: Releases,,,
,the holding brake,,,
,Setting can only be modified if power stage is,,,
,disabled.,,,
,Modified settings become active the next time the,,,
,product is powered on.,,,
IOfunct_DI2,Function Input DI2.,-,UINT16,CANopen 3007:3h
ConF→i-o-,1 / Freely Available /nonE: Available as,-,R/W,Modbus 1798
,required,,,
di2,,-,per.,Profibus 1798
,2 / Fault Reset /FrES: Fault reset after error,,,
,,-,-,CIP 107.1.3
,3 / Enable /EnAb: Enables the power stage,,,
,,,,ModbusTCP 1798
,4 / Halt /hALt: Halt,,,
,,,,EtherCAT 3007:3h
,5 / Start Profile Positioning /SPtP: Start,,,
,request for movement,,,PROFINET 1798
