"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
_Cap3CountCons,"Capture input 3 event counter (continuous).
Counts the capture events.
The event counter is reset when capture input 3 is
activated.
By reading this parameter, the parameter
""_Cap3PosCons"" is updated and locked so it
cannot be changed. Both parameter values
remain consistent.
Available with hardware version ≥RS03.
Available with firmware version ≥V01.12.","-
-
-
-","UINT16
R/-
-
-","CANopen 300A:1Bh
Modbus 2614
Profibus 2614
CIP 110.1.27
ModbusTCP 2614
EtherCAT 300A:1Bh
PROFINET 2614"
_Cap3PosCons,"Capture input 3 captured position (continuous).
Captured position at the time of the ""capture
signal"".
The captured position is re-calculated after
""Position Setting"" or ""Reference Movement"".
By reading the parameter ""_Cap3CountCons"",
this parameter is updated and locked so it cannot
be changed. Both parameter values remain
consistent.
Available with hardware version ≥RS03.
Available with firmware version ≥V01.12.","usr_p
-
-
-","INT32
R/-
-
-","CANopen 300A:1Ch
Modbus 2616
Profibus 2616
CIP 110.1.28
ModbusTCP 2616
EtherCAT 300A:1Ch
PROFINET 2616"
