Parameter name,Description,Unit,Data type,Parameter address
,,,,via fieldbus
HMI menu,,Minimum value,R/W,
HMI name,,Factory setting,Persistent,
,,Maximum value,Expert,
CTRL2_TAUiref,Filter time constant of the reference current value,ms,UINT16,CANopen 3013:5h
,filter.,,,
,,0.00,R/W,Modbus 4874
,In the case of switching between the two control,,,
,"loop parameter sets, the values are changed",0.50,per.,Profibus 4874
,linearly over the time defined in the parameter,,,
,CTRL_ParChgTime.,4.00,-,CIP 119.1.5
,In increments of 0.01 ms.,,,ModbusTCP 4874
,Modified settings become active immediately.,,,EtherCAT 3013:5h
,,,,PROFINET 4874
CTRL2_TAUnref,Filter time constant of the reference velocity value,ms,UINT16,CANopen 3013:4h
,filter.,,,
ConF→drC-,,0.00,R/W,Modbus 4872
,In the case of switching between the two control,,,
tAu2,"loop parameter sets, the values are changed",9.00,per.,Profibus 4872
,linearly over the time defined in the parameter,,,
,CTRL_ParChgTime.,327.67,-,CIP 119.1.4
,In increments of 0.01 ms.,,,ModbusTCP 4872
,Modified settings become active immediately.,,,EtherCAT 3013:4h
,,,,PROFINET 4872
CTRL2_TNn,Velocity controller integral action time.,ms,UINT16,CANopen 3013:2h
ConF→drC-,The default value is calculated.,0.00,R/W,Modbus 4868
tin2,In the case of switching between the two control,-,per.,Profibus 4868
,"loop parameter sets, the values are changed",,,
,linearly over the time defined in the parameter,327.67,-,CIP 119.1.2
,CTRL_ParChgTime.,,,
,,,,ModbusTCP 4868
,In increments of 0.01 ms.,,,
,,,,EtherCAT 3013:2h
,Modified settings become active immediately.,,,
,,,,PROFINET 4868
DCbus_compat,DC bus compatibility LXM32 and ATV32.,-,UINT16,CANopen 3005:26h
,0 / No DC bus or LXM32 only: DC bus not used,0,R/W,Modbus 1356
,or only LXM32 connected via the DC bus,,,
,,0,per.,Profibus 1356
,1 / DC bus with LXM32 and ATV32: LXM32 and,,,
,ATV32 connected via the DC bus,1,-,CIP 105.1.38
,Setting can only be modified if power stage is,,,ModbusTCP 1356
,disabled.,,,
,,,,EtherCAT 3005:26h
,Modified settings become active the next time the,,,
,product is powered on.,,,PROFINET 1356
,Available with firmware version ≥V01.03.,,,
