"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
"JOGv_slow
oP →JoG-
JGLo","Velocity for slow movement.
The adjustable value is internally limited to the
parameter setting in RAMP_v_max.
Modified settings become active immediately.","usr_v
1
60
2147483647","UINT32
R/W
per.
-","CANopen 3029:4h
Modbus 10504
Profibus 10504
CIP 141.1.4
ModbusTCP 10504
EtherCAT 3029:4h
PROFINET 10504"
"JOGv_fast
oP →JoG-
JGhi","Velocity for fast movement.
The adjustable value is internally limited to the
parameter setting in RAMP_v_max.
Modified settings become active immediately.","usr_v
1
180
2147483647","UINT32
R/W
per.
-","CANopen 3029:5h
Modbus 10506
Profibus 10506
CIP 141.1.5
ModbusTCP 10506
EtherCAT 3029:5h
PROFINET 10506"
