"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
MON_IO_SelWar1,"Signal output function Selected Warning (error
class 0): First error code.
This parameter specifies the error code of an error
of error class 0 which is to activate the signal
output function.
Modified settings become active immediately.","-
0
0
65535","UINT16
R/W
per.
-","CANopen 303B:8h
Modbus 15120
Profibus 15120
CIP 159.1.8
ModbusTCP 15120
EtherCAT 303B:8h
PROFINET 15120"
MON_IO_SelWar2,"Signal output function Selected Warning (error
class 0): Second error code.
This parameter specifies the error code of an error
of error class 0 which is to activate the signal
output function.
Modified settings become active immediately.","-
0
0
65535","UINT16
R/W
per.
-","CANopen 303B:9h
Modbus 15122
Profibus 15122
CIP 159.1.9
ModbusTCP 15122
EtherCAT 303B:9h
PROFINET 15122"
MON_IO_SelErr1,"Signal output function Selected Error (error
classes 1 to 4): First error code.
This parameter specifies the error code of an error
of error classes 1 ... 4 which is to activate the
signal output function.
Modified settings become active immediately.","-
0
0
65535","UINT16
R/W
per.
-","CANopen 303B:6h
Modbus 15116
Profibus 15116
CIP 159.1.6
ModbusTCP 15116
EtherCAT 303B:6h
PROFINET 15116"
MON_IO_SelErr2,"Signal output function Selected Error (error
classes 1 to 4): Second error code.
This parameter specifies the error code of an error
of error classes 1 ... 4 which is to activate the
signal output function.
Modified settings become active immediately.","-
0
0
65535","UINT16
R/W
per.
-","CANopen 303B:7h
Modbus 15118
Profibus 15118
CIP 159.1.7
ModbusTCP 15118
EtherCAT 303B:7h
PROFINET 15118"
