"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
DPL_intLim,"Setting for bit 9 of _DPL_motionStat and
_actionStatus.
0 / None: Not used (reserved)
1 / Current Below Threshold: Current threshold
value
2 / Velocity Below Threshold: Velocity threshold
value
3 / In Position Deviation Window: Position
deviation window
4 / In Velocity Deviation Window: Velocity
deviation window
5 / Position Register Channel 1: Position
register channel 1
6 / Position Register Channel 2: Position
register channel 2
7 / Position Register Channel 3: Position
register channel 3
8 / Position Register Channel 4: Position
register channel 4
9 / Hardware Limit Switch: Hardware limit switch
10 / RMAC active or finished: Relative
movement after capture is active or finished
11 / Position Window: Position window
Setting for:
Bit 9 of the parameter _actionStatus
Bit 9 of the parameter _DPL_motionStat
Modified settings become active immediately.
Available with firmware version ≥V01.08.","-
0
11
11","UINT16
R/W
per.
-","CANopen 301B:35h
Modbus 7018
Profibus 7018
CIP 127.1.53
ModbusTCP 7018
EtherCAT 301B:35h
PROFINET 7018"
DS402intLim,"DS402 status word: Setting for bit 11 (internal
limit).
0 / None: Not used (reserved)
1 / Current Below Threshold: Current threshold
value
2 / Velocity Below Threshold: Velocity threshold
value
3 / In Position Deviation Window: Position
deviation window
4 / In Velocity Deviation Window: Velocity
deviation window
5 / Position Register Channel 1: Position
register channel 1
6 / Position Register Channel 2: Position
register channel 2
7 / Position Register Channel 3: Position
register channel 3
8 / Position Register Channel 4: Position
register channel 4
9 / Hardware Limit Switch: Hardware limit switch","-
0
0
11","UINT16
R/W
per.
-","CANopen 301B:1Eh
Modbus 6972
Profibus 6972
CIP 127.1.30
ModbusTCP 6972
EtherCAT 301B:1Eh
PROFINET 6972"
