"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
IOM1_AI11_v_max,"IOM1 Limitation of velocity at 10 V of AI11.
The maximum velocity is limited to the setting in
CTRL_v_max.
The minimum velocity is internally limited to 100
RPM.
Setting can only be modified if power stage is
disabled.
Modified settings become active the next time the
power stage is enabled.
Available with firmware version ≥V01.06.","usr_v
1
3000
2147483647","UINT32
R/W
per.
-","CANopen 304F:10h
Modbus 20256
Profibus 20256
CIP 179.1.16
ModbusTCP 20256
EtherCAT 304F:10h
PROFINET 20256"
IOM1_AI12_v_max,"IOM1 Limitation of velocity at 10 V of AI12.
The maximum velocity is limited to the setting in
CTRL_v_max.
The minimum velocity is internally limited to 100
RPM.
Setting can only be modified if power stage is
disabled.
Modified settings become active the next time the
power stage is enabled.
Available with firmware version ≥V01.06.","usr_v
1
3000
2147483647","UINT32
R/W
per.
-","CANopen 304F:15h
Modbus 20266
Profibus 20266
CIP 179.1.21
ModbusTCP 20266
EtherCAT 304F:15h
PROFINET 20266"
