Parameter name,Description,Unit,Data type,Parameter address
,,,,via fieldbus
HMI menu,,Minimum value,R/W,
HMI name,,Factory setting,Persistent,
,,Maximum value,Expert,
,30 / Start Signal Of RMAC /SrMc: Start signal,,,
,of relative movement after capture (RMAC),,,
,31 / Activate RMAC /ArMc: Activates the,,,
,relative movement after capture (RMAC),,,
,32 / Activate Operating Mode /AcoP:,,,
,Activates operating mode,,,
,35 / Data Set Bit 4 /dSb4: Motion Sequence:,,,
,Data set bit 4,,,
,36 / Data Set Bit 5 /dSb5: Motion Sequence:,,,
,Data set bit 5,,,
,37 / Data Set Bit 6 /dSb6: Motion Sequence:,,,
,Data set bit 6,,,
,38 / Inversion AI11 (IO Module) /A11i:,,,
,Inverts analog input AI11 (I/O module),,,
,39 / Inversion AI12 (IO Module) /A12i:,,,
,Inverts analog input AI12 (I/O module),,,
,40 / Release Holding Brake /rEhb: Releases,,,
,the holding brake,,,
,Setting can only be modified if power stage is,,,
,disabled.,,,
,Modified settings become active the next time the,,,
,product is powered on.,,,
IOfunct_DI1,Function Input DI1.,-,UINT16,CANopen 3007:2h
ConF→i-o-,1 / Freely Available /nonE: Available as,-,R/W,Modbus 1796
,required,,,
di1,,-,per.,Profibus 1796
,2 / Fault Reset /FrES: Fault reset after error,,,
,,-,-,CIP 107.1.2
,3 / Enable /EnAb: Enables the power stage,,,
,,,,ModbusTCP 1796
,4 / Halt /hALt: Halt,,,
,,,,EtherCAT 3007:2h
,5 / Start Profile Positioning /SPtP: Start,,,
,request for movement,,,PROFINET 1796
,6 / Current Limitation /iLiM: Limits the,,,
,current to parameter value,,,
,7 / Zero Clamp /CLMP: Zero clamping,,,
,8 / Velocity Limitation /VLiM: Limits the,,,
,velocity to parameter value,,,
,9 / Jog Positive /JoGP: Jog: Moves in positive,,,
,direction,,,
,10 / Jog Negative /JoGn: Jog: Moves in,,,
,negative direction,,,
,11 / Jog Fast/Slow /JoGF: Jog: Switches,,,
,between slow and fast movement,,,
,12 / Gear Ratio Switch /GrAt: Electronic,,,
,Gear: Switches between two gear ratios,,,
,13 / Start Single Data Set /dStA: Motion,,,
,Sequence: Starts a single data set,,,
,14 / Data Set Select /dSEL: Motion Sequence:,,,
,Data set selection,,,
,15 / Data Set Bit 0 /dSb0: Motion Sequence:,,,
,Data set bit 0,,,
,16 / Data Set Bit 1 /dSb1: Motion Sequence:,,,
,Data set bit 1,,,
