Parameter name,Description,Unit,Data type,Parameter address
,,,,via fieldbus
HMI menu,,Minimum value,R/W,
HMI name,,Factory setting,Persistent,
,,Maximum value,Expert,
DevNameExtAddr,Value for device name extension.,-,UINT16,CANopen 303E:11h
ConF→CoM-,Modified settings become active the next time the,0,R/W,Modbus 15906
,product is powered on.,,,
dnEA,,0,per.,Profibus 15906
,,65535,-,CIP 162.1.17
,,,,ModbusTCP 15906
,,,,EtherCAT 303E:11h
,,,,PROFINET 15906
DI_0_Debounce,Debounce time of DI0.,-,UINT16,CANopen 3008:20h
,0 / No: No software debouncing,0,R/W,Modbus 2112
,1 / 0.25 ms: 0.25 ms,6,per.,Profibus 2112
,2 / 0.50 ms: 0.50 ms,6,-,CIP 108.1.32
,3 / 0.75 ms: 0.75 ms,,,ModbusTCP 2112
,4 / 1.00 ms: 1.00 ms,,,EtherCAT 3008:20h
,5 / 1.25 ms: 1.25 ms,,,PROFINET 2112
,6 / 1.50 ms: 1.50 ms,,,
,Setting can only be modified if power stage is,,,
,disabled.,,,
,Modified settings become active immediately.,,,
DI_1_Debounce,Debounce time of DI1.,-,UINT16,CANopen 3008:21h
,0 / No: No software debouncing,0,R/W,Modbus 2114
,1 / 0.25 ms: 0.25 ms,6,per.,Profibus 2114
,2 / 0.50 ms: 0.50 ms,6,-,CIP 108.1.33
,3 / 0.75 ms: 0.75 ms,,,ModbusTCP 2114
,4 / 1.00 ms: 1.00 ms,,,EtherCAT 3008:21h
,5 / 1.25 ms: 1.25 ms,,,PROFINET 2114
,6 / 1.50 ms: 1.50 ms,,,
,Setting can only be modified if power stage is,,,
,disabled.,,,
,Modified settings become active immediately.,,,
DI_2_Debounce,Debounce time of DI2.,-,UINT16,CANopen 3008:22h
,0 / No: No software debouncing,0,R/W,Modbus 2116
,1 / 0.25 ms: 0.25 ms,6,per.,Profibus 2116
,2 / 0.50 ms: 0.50 ms,6,-,CIP 108.1.34
,3 / 0.75 ms: 0.75 ms,,,ModbusTCP 2116
,4 / 1.00 ms: 1.00 ms,,,EtherCAT 3008:22h
,5 / 1.25 ms: 1.25 ms,,,PROFINET 2116
,6 / 1.50 ms: 1.50 ms,,,
,Setting can only be modified if power stage is,,,
,disabled.,,,
,Modified settings become active immediately.,,,
