"Parameter name
HMI menu
HMI name",Description,"Unit
Minimum value
Factory setting
Maximum value","Data type
R/W
Persistent
Expert","Parameter address
via fieldbus"
"CTRL1_TNn
ConF→drC-
tin1","Velocity controller integral action time.
The default value is calculated.
In the case of switching between the two control
loop parameter sets, the values are changed
linearly over the time defined in the parameter
CTRL_ParChgTime.
In increments of 0.01 ms.
Modified settings become active immediately.","ms
0.00
-
327.67","UINT16
R/W
per.
-","CANopen 3012:2h
Modbus 4612
Profibus 4612
CIP 118.1.2
ModbusTCP 4612
EtherCAT 3012:2h
PROFINET 4612"
"CTRL2_TNn
ConF→drC-
tin2","Velocity controller integral action time.
The default value is calculated.
In the case of switching between the two control
loop parameter sets, the values are changed
linearly over the time defined in the parameter
CTRL_ParChgTime.
In increments of 0.01 ms.
Modified settings become active immediately.","ms
0.00
-
327.67","UINT16
R/W
per.
-","CANopen 3013:2h
Modbus 4868
Profibus 4868
CIP 119.1.2
ModbusTCP 4868
EtherCAT 3013:2h
PROFINET 4868"
